Id,SalePrice
1461,132000.0
1462,174600.0
1463,153590.0
1464,194089.0
1465,201050.0
1466,185640.0
1467,181220.0
1468,180048.0
1469,180700.0
1470,126275.8
1471,178430.0
1472,97005.0
1473,114900.0
1474,145550.0
1475,166720.0
1476,468942.1
1477,330726.4
1478,293509.2
1479,296981.3
1480,372049.4
1481,271190.0
1482,210970.0
1483,183700.0
1484,193064.3
1485,233706.8
1486,185160.0
1487,341346.3
1488,213080.0
1489,197662.8
1490,180194.0
1491,212450.0
1492,108012.5
1493,213390.0
1494,312710.0
1495,254650.0
1496,187764.8
1497,159090.46666666667
1498,170490.46666666667
1499,150394.77333333335
1500,149769.96666666667
1501,176525.0
1502,156094.77333333335
1503,330928.4
1504,226230.0
1505,206750.0
1506,181230.0
1507,209590.0
1508,183030.0
1509,153525.0
1510,133050.0
1511,161700.0
1512,137250.0
1513,184600.0
1514,146658.7
1515,132240.0
1516,109600.0
1517,152160.0
1518,138750.0
1519,200840.0
1520,140350.0
1521,160540.0
1522,146150.0
1523,120675.0
1524,117000.0
1525,129650.0
1526,136200.0
1527,53990.0
1528,122770.0
1529,136240.0
1530,173998.0
1531,99460.0
1532,98605.0
1533,127500.0
1534,132200.0
1535,140850.0
1536,123900.0
1537,74981.1
1538,225340.0
1539,229800.0
1540,123670.0
1541,159770.0
1542,111380.0
1543,176805.0
1544,82210.0
1545,134370.0
1546,137450.0
1547,131290.0
1548,136600.0
1549,127780.0
1550,142793.4
1551,116250.0
1552,108370.0
1553,177750.0
1554,119340.4
1555,146820.0
1556,121950.0
1557,127200.0
1558,133300.0
1559,96930.0
1560,103990.0
1561,127050.0
1562,119438.3
1563,127950.0
1564,131130.0
1565,159650.0
1566,217750.0
1567,84440.0
1568,198090.0
1569,101160.0
1570,143760.0
1571,107300.0
1572,104220.0
1573,232029.5
1574,129100.0
1575,209100.0
1576,204800.0
1577,202602.8
1578,158210.0
1579,127800.0
1580,218512.7
1581,158120.0
1582,123570.0
1583,264740.0
1584,248429.0
1585,143090.0
1586,87930.0
1587,140690.0
1588,165500.0
1589,103900.0
1590,145170.0
1591,100585.0
1592,96648.0
1593,122020.0
1594,134200.0
1595,171590.0
1596,206100.0
1597,146960.0
1598,191300.0
1599,196200.0
1600,196200.0
1601,64312.2
1602,97150.0
1603,102627.6
1604,255400.0
1605,268990.0
1606,174150.0
1607,220130.0
1608,201282.1
1609,210037.9
1610,160350.0
1611,166924.0
1612,170514.0
1613,172864.0
1614,100900.0
1615,85250.0
1616,82900.0
1617,80200.0
1618,122800.0
1619,135200.0
1620,130701.5
1621,159700.0
1622,159650.0
1623,240500.0
1624,219280.0
1625,139820.0
1626,165150.0
1627,181589.0
1628,268370.0
1629,189000.0
1630,239407.0
1631,240050.0
1632,267700.0
1633,187940.0
1634,186970.0
1635,187000.0
1636,177790.0
1637,154490.0
1638,201360.0
1639,170250.0
1640,239856.0
1641,177950.0
1642,191560.0
1643,226230.0
1644,205740.0
1645,146730.0
1646,176240.0
1647,182100.0
1648,132625.0
1649,135390.0
1650,122600.0
1651,122450.0
1652,99650.0
1653,103381.66666666666
1654,150700.0
1655,166720.0
1656,148050.0
1657,149550.0
1658,148050.0
1659,166080.0
1660,135400.0
1661,392120.3
1662,373485.4
1663,289782.4
1664,365620.6
1665,302861.8
1666,313192.6
1667,401575.6
1668,347087.0
1669,300319.2
1670,323666.2
1671,226295.8
1672,369455.0
1673,332375.7
1674,253095.4
1675,190420.0
1676,192900.0
1677,195272.7
1678,433225.0
1679,329438.5
1680,316534.3
1681,316534.3
1682,316046.3
1683,176789.3
1684,219117.0
1685,184233.2
1686,164738.2
1687,194300.0
1688,183700.0
1689,214610.0
1690,206305.1
1691,201380.0
1692,272661.3
1693,232642.8
1694,180928.0
1695,182700.0
1696,217500.0
1697,182700.0
1698,331583.8
1699,298150.0
1700,199480.0
1701,290100.0
1702,223170.0
1703,253065.0
1704,258235.0
1705,245338.0
1706,343605.3
1707,198754.26666666666
1708,228199.2333333333
1709,297850.0
1710,210970.0
1711,269270.0
1712,283564.3
1713,244167.0
1714,192905.0
1715,200750.0
1716,196037.9
1717,189247.9
1718,190560.0
1719,258750.0
1720,277090.0
1721,236175.4
1722,156690.0
1723,155190.0
1724,196735.0
1725,241840.0
1726,166110.0
1727,172150.0
1728,210090.0
1729,167297.0
1730,149300.0
1731,129362.5
1732,113020.0
1733,106780.0
1734,124825.0
1735,138925.0
1736,126180.0
1737,265600.0
1738,186500.0
1739,195388.0
1740,163936.6
1741,162688.6
1742,165683.33333333334
1743,178552.8
1744,287460.0
1745,257770.0
1746,267050.0
1747,218880.0
1748,184745.0
1749,135300.0
1750,141090.0
1751,190370.0
1752,111390.0
1753,130000.0
1754,183530.0
1755,174500.0
1756,124745.0
1757,123150.0
1758,124750.0
1759,156150.0
1760,154290.0
